,freq,s_adj,age,unit,sex,geo,date,rate
303,M,SA,TOTAL,PC_ACT,T,US,2020-11 ,6.7 
304,M,SA,TOTAL,PC_ACT,T,AT,2020-12 ,5.8 
305,M,SA,TOTAL,PC_ACT,T,BE,2020-12 ,5.8 
306,M,SA,TOTAL,PC_ACT,T,BG,2020-12 ,4.8 
307,M,SA,TOTAL,PC_ACT,T,CH,2020-12 ,5.1 
308,M,SA,TOTAL,PC_ACT,T,CY,2020-12 ,7.3 
309,M,SA,TOTAL,PC_ACT,T,CZ,2020-12 ,3.1 
310,M,SA,TOTAL,PC_ACT,T,DE,2020-12 ,0
311,M,SA,TOTAL,PC_ACT,T,DK,2020-12 ,5.8 
312,M,SA,TOTAL,PC_ACT,T,EA,2020-12 ,8.3 
313,M,SA,TOTAL,PC_ACT,T,EA18,2020-12 ,8.3 
314,M,SA,TOTAL,PC_ACT,T,EA19,2020-12 ,8.3 
315,M,SA,TOTAL,PC_ACT,T,EE,2020-12 ,0
316,M,SA,TOTAL,PC_ACT,T,EL,2020-12 ,0
317,M,SA,TOTAL,PC_ACT,T,ES,2020-12 ,16.2 
318,M,SA,TOTAL,PC_ACT,T,EU27_2020,2020-12 ,7.5 
319,M,SA,TOTAL,PC_ACT,T,FI,2020-12 ,8.4 
320,M,SA,TOTAL,PC_ACT,T,FR,2020-12 ,8.9 
321,M,SA,TOTAL,PC_ACT,T,HR,2020-12 ,7.5 
322,M,SA,TOTAL,PC_ACT,T,HU,2020-12 ,0
323,M,SA,TOTAL,PC_ACT,T,IE,2020-12 ,5.8 
324,M,SA,TOTAL,PC_ACT,T,IS,2020-12 ,6.1 
325,M,SA,TOTAL,PC_ACT,T,IT,2020-12 ,9.0 
326,M,SA,TOTAL,PC_ACT,T,JP,2020-12 ,2.9 
327,M,SA,TOTAL,PC_ACT,T,LT,2020-12 ,10.1 
328,M,SA,TOTAL,PC_ACT,T,LU,2020-12 ,6.7 
329,M,SA,TOTAL,PC_ACT,T,LV,2020-12 ,8.2 
330,M,SA,TOTAL,PC_ACT,T,MT,2020-12 ,4.5 
331,M,SA,TOTAL,PC_ACT,T,NL,2020-12 ,3.9 
332,M,SA,TOTAL,PC_ACT,T,NO,2020-12 ,0
333,M,SA,TOTAL,PC_ACT,T,PL,2020-12 ,3.3 
334,M,SA,TOTAL,PC_ACT,T,PT,2020-12 ,6.5 
335,M,SA,TOTAL,PC_ACT,T,RO,2020-12 ,4.9 
336,M,SA,TOTAL,PC_ACT,T,SE,2020-12 ,8.7 
337,M,SA,TOTAL,PC_ACT,T,SI,2020-12 ,4.7 
338,M,SA,TOTAL,PC_ACT,T,SK,2020-12 ,7.0 
339,M,SA,TOTAL,PC_ACT,T,TR,2020-12 ,0
340,M,SA,TOTAL,PC_ACT,T,UK,2020-12 ,0
341,M,SA,TOTAL,PC_ACT,T,US,2020-12 ,6.7 
342,M,SA,TOTAL,PC_ACT,T,AT,2021-01 ,0
343,M,SA,TOTAL,PC_ACT,T,BE,2021-01 ,0
344,M,SA,TOTAL,PC_ACT,T,BG,2021-01 ,0
345,M,SA,TOTAL,PC_ACT,T,CH,2021-01 ,0
346,M,SA,TOTAL,PC_ACT,T,CY,2021-01 ,0
347,M,SA,TOTAL,PC_ACT,T,CZ,2021-01 ,0
348,M,SA,TOTAL,PC_ACT,T,DE,2021-01 ,0
349,M,SA,TOTAL,PC_ACT,T,DK,2021-01 ,0
350,M,SA,TOTAL,PC_ACT,T,EA,2021-01 ,0
351,M,SA,TOTAL,PC_ACT,T,EA18,2021-01 ,0
352,M,SA,TOTAL,PC_ACT,T,EA19,2021-01 ,0
353,M,SA,TOTAL,PC_ACT,T,EE,2021-01 ,0
354,M,SA,TOTAL,PC_ACT,T,EL,2021-01 ,0
355,M,SA,TOTAL,PC_ACT,T,ES,2021-01 ,0
356,M,SA,TOTAL,PC_ACT,T,EU27_2020,2021-01 ,0
357,M,SA,TOTAL,PC_ACT,T,FI,2021-01 ,0
358,M,SA,TOTAL,PC_ACT,T,FR,2021-01 ,0
359,M,SA,TOTAL,PC_ACT,T,HR,2021-01 ,0
360,M,SA,TOTAL,PC_ACT,T,HU,2021-01 ,0
361,M,SA,TOTAL,PC_ACT,T,IE,2021-01 ,5.8 
362,M,SA,TOTAL,PC_ACT,T,IS,2021-01 ,0
363,M,SA,TOTAL,PC_ACT,T,IT,2021-01 ,0
364,M,SA,TOTAL,PC_ACT,T,JP,2021-01 ,0
365,M,SA,TOTAL,PC_ACT,T,LT,2021-01 ,0
366,M,SA,TOTAL,PC_ACT,T,LU,2021-01 ,0
367,M,SA,TOTAL,PC_ACT,T,LV,2021-01 ,0
368,M,SA,TOTAL,PC_ACT,T,MT,2021-01 ,0
369,M,SA,TOTAL,PC_ACT,T,NL,2021-01 ,3.6 
370,M,SA,TOTAL,PC_ACT,T,NO,2021-01 ,0
371,M,SA,TOTAL,PC_ACT,T,PL,2021-01 ,0
372,M,SA,TOTAL,PC_ACT,T,PT,2021-01 ,0
373,M,SA,TOTAL,PC_ACT,T,RO,2021-01 ,0
374,M,SA,TOTAL,PC_ACT,T,SE,2021-01 ,0
375,M,SA,TOTAL,PC_ACT,T,SI,2021-01 ,0
